rat,band,duplex,bw_mhz,scs_khz,ssb_scs_khz,dl_arfcn_or_earfcn,dl_freq_mhz,ssb_arfcn,ssb_gscn,ssb_freq_mhz,status,notes,cfg_snippet
LTE,41,TDD,5,15,15,39675,2498.5,39675,,2498.5,ok,,band: 41\ndl_earfcn: 39675\nn_rb_dl: 25\nuldl_config: 2\nsp_config: 7
LTE,42,TDD,5,15,15,41615,3402.5,41615,,3402.5,ok,,band: 42\ndl_earfcn: 41615\nn_rb_dl: 25\nuldl_config: 2\nsp_config: 7
LTE,43,TDD,5,15,15,43615,3602.5,43615,,3602.5,ok,,band: 43\ndl_earfcn: 43615\nn_rb_dl: 25\nuldl_config: 2\nsp_config: 7
LTE,48,TDD,5,15,15,55265,3552.5,55265,,3552.5,ok,,band: 48\ndl_earfcn: 55265\nn_rb_dl: 25\nuldl_config: 2\nsp_config: 7
LTE,66,FDD,1.4,15,15,66443,2110.7,66443,,2110.7,ok,,band: 66\ndl_earfcn: 66443\nn_rb_dl: 6
LTE,71,FDD,5,15,15,68611,619.5,68611,,619.5,ok,,band: 71\ndl_earfcn: 68611\nn_rb_dl: 25
CATM,1,FDD,5,15,15,25,2112.5,25,,2112.5,ok,,band: 1\ndl_earfcn: 25\nn_rb_dl: 25
CATM,2,FDD,1.4,15,15,607,1930.7,607,,1930.7,ok,,band: 2\ndl_earfcn: 607\nn_rb_dl: 6
CATM,3,FDD,1.4,15,15,1207,1805.7,1207,,1805.7,ok,,band: 3\ndl_earfcn: 1207\nn_rb_dl: 6
CATM,4,FDD,1.4,15,15,1957,2110.7,1957,,2110.7,ok,,band: 4\ndl_earfcn: 1957\nn_rb_dl: 6
CATM,5,FDD,1.4,15,15,2407,869.7,2407,,869.7,ok,,band: 5\ndl_earfcn: 2407\nn_rb_dl: 6
CATM,7,FDD,5,15,15,2775,2622.5,2775,,2622.5,ok,,band: 7\ndl_earfcn: 2775\nn_rb_dl: 25
CATM,8,FDD,1.4,15,15,3457,925.7,3457,,925.7,ok,,band: 8\ndl_earfcn: 3457\nn_rb_dl: 6
CATM,12,FDD,1.4,15,15,5017,729.7,5017,,729.7,ok,,band: 12\ndl_earfcn: 5017\nn_rb_dl: 6
CATM,13,FDD,5,15,15,5205,748.5,5205,,748.5,ok,,band: 13\ndl_earfcn: 5205\nn_rb_dl: 25
CATM,14,FDD,5,15,15,5305,760.5,5305,,760.5,ok,,band: 14\ndl_earfcn: 5305\nn_rb_dl: 25
CATM,18,FDD,5,15,15,5875,862.5,5875,,862.5,ok,,band: 18\ndl_earfcn: 5875\nn_rb_dl: 25
CATM,19,FDD,5,15,15,6025,877.5,6025,,877.5,ok,,band: 19\ndl_earfcn: 6025\nn_rb_dl: 25
CATM,20,FDD,5,15,15,6175,793.5,6175,,793.5,ok,,band: 20\ndl_earfcn: 6175\nn_rb_dl: 25
CATM,25,FDD,1.4,15,15,8047,1930.7,8047,,1930.7,ok,,band: 25\ndl_earfcn: 8047\nn_rb_dl: 6
CATM,26,FDD,1.4,15,15,8697,859.7,8697,,859.7,ok,,band: 26\ndl_earfcn: 8697\nn_rb_dl: 6
CATM,28,FDD,3,15,15,9225,759.5,9225,,759.5,ok,,band: 28\ndl_earfcn: 9225\nn_rb_dl: 15
CATM,66,FDD,1.4,15,15,66443,2110.7,66443,,2110.7,ok,,band: 66\ndl_earfcn: 66443\nn_rb_dl: 6
CATM,71,FDD,5,15,15,68611,619.5,68611,,619.5,ok,,band: 71\ndl_earfcn: 68611\nn_rb_dl: 25
NBIOT,1,FDD,0.2,15,15,300,2140,300,,2140,ok,,"dl_earfcn: 300\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,2,FDD,0.2,15,15,900,1960,900,,1960,ok,,"dl_earfcn: 900\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,3,FDD,0.2,15,15,1575,1842.5,1575,,1842.5,ok,,"dl_earfcn: 1575\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,5,FDD,0.2,15,15,2525,881.5,2525,,881.5,ok,,"dl_earfcn: 2525\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,8,FDD,0.2,15,15,3625,942.5,3625,,942.5,ok,,"dl_earfcn: 3625\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,12,FDD,0.2,15,15,5095,737.5,5095,,737.5,ok,,"dl_earfcn: 5095\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,13,FDD,0.2,15,15,5230,751,5230,,751,ok,,"dl_earfcn: 5230\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,14,FDD,0.2,15,15,5330,763,5330,,763,ok,,"dl_earfcn: 5330\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,18,FDD,0.2,15,15,5925,867.5,5925,,867.5,ok,,"dl_earfcn: 5925\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,19,FDD,0.2,15,15,6075,882.5,6075,,882.5,ok,,"dl_earfcn: 6075\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,20,FDD,0.2,15,15,6300,806,6300,,806,ok,,"dl_earfcn: 6300\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,25,FDD,0.2,15,15,8365,1962.5,8365,,1962.5,ok,,"dl_earfcn: 8365\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,26,FDD,0.2,15,15,8865,876.5,8865,,876.5,ok,,"dl_earfcn: 8865\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,28,FDD,0.2,15,15,9435,780.5,9435,,780.5,ok,,"dl_earfcn: 9435\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,41,TDD,0.2,15,15,40620,2593,40620,,2593,ok,,"dl_earfcn: 40620\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,66,FDD,0.2,15,15,66786,2145,66786,,2145,ok,,"dl_earfcn: 66786\noperation_mode: ""standalone""\nn_id_ncell: 37"
NBIOT,71,FDD,0.2,15,15,68761,634.5,68761,,634.5,ok,,"dl_earfcn: 68761\noperation_mode: ""standalone""\nn_id_ncell: 37"
